Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.,,
MLBSL,"2,194.22",0.44,"2,228.30","2,228.30","2,165.00","1,557","2,184.61",9.61,,
MMF1,8.40,1.82,8.39,8.49,8.25,"180,066",8.25,0.15,,
MMKJL,680.97,3.06,661.10,683.00,661.10,"9,255",660.73,20.24,,
MNBBL,363.19,1.35,351.20,363.50,351.20,"16,888",358.34,4.85,,
MNBBLP,221.00,0,221.00,221.00,221.00,"22,500",221.00,0,,
MNMF1,9.00,-0.11,8.95,9.04,8.95,"43,290",9.01,-0.01,,
MPFL,629.30,2.81,624.30,632.00,614.00,"13,148",612.11,17.19,,
MSHL,879.73,-0.85,874.00,893.00,870.00,"1,994",887.25,-7.52,,
MSLB,"1,241.33",1.82,"1,201.00","1,268.00","1,201.00","2,797","1,219.16",22.17,,
NABBC,"1,671.18",-5.04,"1,724.80","1,759.00","1,624.00","68,200","1,759.94",-88.76,,
NABIL,481.31,0.25,485.00,485.00,477.00,"49,757",480.13,1.18,,
NABILD87,"1,050.00",0,"1,050.00","1,050.00","1,050.00",2,"1,050.00",0,,
NADEP,849.80,1.2,832.20,873.60,832.20,"2,300",839.72,10.08,,
NBF2,9.43,1.29,9.48,9.48,9.27,"6,800",9.31,0.12,,
NBF3,9.00,0,8.83,9.05,8.83,"15,819",9.00,0,,
NBL,248.05,1.13,240.50,250.20,240.50,"31,396",245.28,2.77,,
NBLD85,"1,025.90",-1.99,"1,025.80","1,025.80","1,025.80",51,"1,046.70",-20.8,,
NCCD86,"1,105.00",0.45,"1,105.00","1,106.00","1,105.00","3,022","1,100.00",5,,
NESDO,"1,807.85",3.1,"1,721.00","1,879.30","1,721.00","1,126","1,753.44",54.41,,
NFS,685.88,0.97,691.90,699.90,680.00,"12,453",679.26,6.62,,
NGPL,267.01,1.17,265.00,267.60,262.20,"53,702",263.92,3.09,,
NHDL,784.91,-0.58,805.20,805.20,766.10,"8,713",789.49,-4.58,,
NHPC,207.12,1.82,200.80,208.90,200.80,"65,437",203.42,3.7,,
NIBD2082,"1,087.20",2,"1,065.90","1,065.90","1,065.90",14,"1,065.90",21.3,,
NIBLGF,8.51,3.03,8.24,8.51,8.24,"9,700",8.26,0.25,,
NIBLSTF,8.35,1.58,8.22,8.35,8.18,"15,875",8.22,0.13,,
NIBSF2,8.25,0.86,8.18,8.25,8.18,"16,850",8.18,0.07,,
NICA,366.94,1.15,360.00,369.80,359.00,"66,232",362.76,4.18,,
NICAD8283,"1,125.00",3.59,"1,095.00","1,135.00","1,095.00",55,"1,086.00",39,,
NICBF,9.06,0.67,8.86,9.18,8.86,"3,775",9.00,0.06,,
NICD83/84,"1,052.10",0.09,"1,051.20","1,051.20","1,051.20",2,"1,051.20",0.9,,
NICD88,"1,047.50",2,"1,047.00","1,047.50","1,047.00",40,"1,027.00",20.5,,
NICFC,8.95,2.52,8.63,8.97,8.63,"1,500",8.73,0.22,,
NICGF2,8.50,-0.12,8.34,8.50,8.34,800,8.51,-0.01,,
NICL,822.44,2.86,815.50,828.20,805.00,"13,002",799.56,22.88,,
NICLBSL,644.57,1.15,637.00,648.00,635.00,"2,855",637.24,7.33,,
NICSF,9.15,0.55,8.99,9.15,8.99,"10,400",9.10,0.05,,
NIFRA,263.10,1.83,253.30,265.00,253.30,"152,611",258.38,4.72,,
NIL,749.93,0.33,760.00,760.00,740.00,"6,126",747.50,2.43,,
NIMB,209.51,1.22,206.00,209.90,206.00,"97,172",206.99,2.52,,
NIMBD90,"1,120.29",0.47,"1,115.00","1,120.30","1,115.00",27,"1,115.00",5.29,,
NIMBPO,155.00,1.39,155.00,155.00,155.00,11,152.88,2.12,,
NLG,865.19,1.77,864.00,870.00,850.00,"20,503",850.18,15.01,,
NLIC,767.87,2.38,740.10,770.10,740.10,"45,050",750.03,17.84,,
NLICL,627.18,1.02,632.90,633.00,622.00,"10,129",620.82,6.36,,
NMB,247.70,2.69,245.00,250.00,240.10,"64,718",241.20,6.5,,
NMB50,10.24,-0.1,10.41,10.44,10.17,"55,200",10.25,-0.01,,
NMBD2085,"1,077.20",0.07,"1,076.40","1,076.40","1,076.40",2,"1,076.40",0.8,,
NMBMF,724.35,3.23,710.00,734.80,702.10,"4,930",701.71,22.64,,
NMFBS,"1,195.54",-0.03,"1,185.00","1,200.00","1,185.00","4,022","1,195.91",-0.37,,
NMLBBL,657.27,1.99,650.00,662.90,640.20,"8,881",644.42,12.85,,
NRIC,"1,281.31",2.49,"1,262.00","1,295.00","1,237.00","246,444","1,250.18",31.13,,
NRM,462.58,3.02,455.00,468.00,447.00,"33,210",449.02,13.56,,
NRN,"1,411.82",3.21,"1,365.00","1,416.90","1,365.00","74,727","1,367.88",43.94,,
NSIF2,10.29,1.18,9.99,10.29,9.99,"10,700",10.17,0.12,,
NTC,893.51,0.4,905.00,905.00,888.10,"13,062",889.97,3.54,,
NUBL,667.60,0.94,662.00,674.00,651.70,"5,061",661.39,6.21,,
NWCL,940.54,1.61,931.00,947.90,921.00,"4,925",925.63,14.91,,
NYADI,571.10,1.45,574.00,574.00,552.00,"26,691",562.92,8.18,,
OHL,870.99,1.14,852.00,872.00,852.00,"3,041",861.20,9.79,,
PBD84,"1,070.00",0,"1,070.00","1,070.00","1,070.00",26,"1,070.00",0,,
PBD88,"1,100.00",0.29,"1,100.00","1,100.00","1,100.00",50,"1,096.80",3.2,,
PCBL,251.86,1.93,251.00,253.80,247.30,"68,348",247.09,4.77,,
PFL,430.78,2.4,427.00,435.50,425.00,"29,476",420.69,10.09,,
PHCL,577.57,3.21,569.00,578.50,548.50,"55,421",559.61,17.96,,
PMHPL,286.71,3.49,278.00,291.00,278.00,"9,460",277.04,9.67,,
PMLI,560.83,2.4,548.00,563.00,548.00,"15,746",547.66,13.17,,
PPCL,309.00,2.72,306.80,313.00,301.10,"16,651",300.81,8.19,,
PPL,524.67,1.53,518.00,530.00,508.10,"8,307",516.74,7.93,,
PRIN,919.07,1.77,921.00,923.00,908.00,"7,754",903.06,16.01,,
PROFL,532.50,2.31,521.10,537.00,521.00,"14,437",520.50,12,,
PRSF,11.06,1.94,11.06,11.06,11.06,100,10.85,0.21,,
PRVU,209.61,2.09,207.30,210.00,205.00,"105,923",205.31,4.3,,
PSF,10.21,1.09,10.05,10.30,10.05,"52,698",10.10,0.11,,
RADHI,382.44,2.35,381.00,387.00,375.10,"20,406",373.66,8.78,,
RAWA,837.18,-0.22,845.00,852.00,822.30,"4,160",839.03,-1.85,,
RBBD83,"1,037.85",0.76,"1,030.00","1,040.00","1,030.00",144,"1,030.00",7.85,,
RBCL,"14,539.73",1.32,"14,638.00","14,638.00","14,251.00",214,"14,351.00",188.73,,
RBCLPO,"11,337.30",2,"11,025.00","11,337.30","11,025.00",28,"11,115.00",222.3,,
RFPL,690.95,0.54,677.00,698.00,675.00,"18,637",687.21,3.74,,
RHGCL,525.14,4.97,500.00,535.00,500.00,"9,191",500.27,24.87,,
RHPL,378.64,1.32,380.00,380.00,374.00,"26,959",373.69,4.95,,
RIDI,219.29,2.4,215.00,220.00,215.00,"64,099",214.15,5.14,,
RLFL,525.46,3.14,499.30,530.00,499.30,"20,880",509.47,15.99,,
RMF1,8.82,4.38,8.45,8.94,8.45,"19,200",8.45,0.37,,
RMF2,9.33,3.67,9.00,9.33,9.00,"1,200",9.00,0.33,,
RNLI,535.87,2.81,528.00,545.00,519.20,"70,480",521.23,14.64,,
RSDC,703.78,1.96,690.00,708.00,688.00,"18,149",690.25,13.53,,
RURU,725.44,1.84,726.50,735.00,716.00,"16,245",712.32,13.12,,
SADBL,401.76,2.75,398.00,405.00,391.20,"25,249",391.00,10.76,,
SADBLP,205.00,-1.91,205.00,205.00,205.00,"26,500",209.00,-4,,
SAGF,9.10,1.11,9.10,9.18,8.97,"550,700",9.00,0.1,,
SAHAS,490.69,0.97,488.00,492.00,483.30,"62,277",485.98,4.71,,
SALICO,699.50,1.29,680.60,700.50,680.60,"7,171",690.57,8.93,,
SAMAJ,"2,512.66",0.79,"2,452.20","2,524.80","2,450.00",843,"2,493.00",19.66,,
SANIMA,299.84,1.42,295.00,300.10,295.00,"48,219",295.64,4.2,,
SAPDBL,"1,100.59",1.05,"1,069.10","1,133.10","1,069.10","25,389","1,089.19",11.4,,
SARBTM,785.28,2.36,767.20,790.00,765.00,"47,405",767.19,18.09,,
SBCF,8.81,-0.34,8.71,8.88,8.70,"3,000",8.84,-0.03,,
SBD89,"1,120.00",0.67,"1,112.60","1,120.00","1,112.60",24,"1,112.60",7.4,,
SBI,412.33,2.55,402.00,415.00,401.80,"37,901",402.08,10.25,,
SBID89,"1,054.10",0.52,"1,048.60","1,048.60","1,048.60",4,"1,048.60",5.5,,
SBL,278.05,0.71,281.00,281.00,271.50,"33,681",276.09,1.96,,
SBLD83,"1,055.00",0,"1,055.00","1,055.00","1,055.00",2,"1,055.00",0,,
SCB,629.44,0.55,626.00,637.50,623.10,"12,014",626.01,3.43,,
SCBD,"1,070.80",0.26,"1,070.80","1,070.80","1,070.80",25,"1,068.00",2.8,,
SEF,9.82,2.19,9.70,9.82,9.70,"40,100",9.61,0.21,,
SFCL,527.05,2.77,520.00,533.00,520.00,"29,001",512.85,14.2,,
SFEF,9.23,0.54,9.05,9.23,9.05,700,9.18,0.05,,
SFMF,10.30,1.98,10.20,10.30,10.00,"16,875",10.10,0.2,,
SGHC,547.36,5.35,520.00,552.60,515.30,"31,406",519.58,27.78,,
SGIC,581.29,1.56,575.00,582.00,569.00,"13,224",572.37,8.92,,
SHEL,249.79,2.13,248.00,252.00,244.10,"124,638",244.57,5.22,,
SHINE,409.49,0.74,402.10,412.00,402.10,"26,280",406.47,3.02,,
SHIVM,526.20,1.49,518.50,528.90,513.00,"58,431",518.49,7.71,,
SHL,482.26,2.19,474.00,483.00,472.00,"18,612",471.94,10.32,,
SHLB,"2,012.05",0.49,"2,002.00","2,037.00","1,976.10","1,032","2,002.19",9.86,,
SHPC,459.92,2.78,450.00,462.50,448.00,"57,408",447.50,12.42,,
SICL,780.20,2.74,773.00,790.00,765.00,"9,598",759.42,20.78,,
SIFC,523.69,2.93,518.90,525.00,515.00,"7,328",508.78,14.91,,
SIGS2,9.64,0.42,9.46,9.65,9.46,"11,700",9.60,0.04,,
SIGS3,9.80,-0.2,9.82,9.82,9.70,600,9.82,-0.02,,
SIKLES,"1,133.05",2.15,"1,091.50","1,140.00","1,091.50",747,"1,109.20",23.85,,
SINDU,"1,072.92",1.01,"1,045.00","1,092.00","1,030.10","58,033","1,062.20",10.72,,
SJCL,317.90,1.5,311.00,320.00,311.00,"6,130",313.21,4.69,,
SJLIC,439.35,1.34,434.00,441.60,434.00,"12,381",433.52,5.83,,
SKBBL,785.09,0.33,782.00,796.00,782.00,"12,537",782.47,2.62,,
SLBBL,986.96,2.55,943.80,994.20,943.80,"13,379",962.44,24.52,,
SLBSL,"1,982.84",0.92,"1,965.00","1,989.00","1,940.00","5,157","1,964.78",18.06,,
SLCF,9.27,0.32,9.10,9.27,9.10,"1,300",9.24,0.03,,
SMATA,810.84,1.07,787.00,816.00,787.00,"1,671",802.26,8.58,,
SMB,"2,362.15",1.42,"2,283.00","2,430.00","2,283.00","5,529","2,329.01",33.14,,
